onset	duration	trial_type
0.000	8.000	fixation
8.000	8.000	vertical_motion
16.000	8.000	horizontal_motion
24.000	8.000	vertical_motion
32.000	8.000	horizontal_motion
40.000	8.000	vertical_motion
48.000	8.000	horizontal_motion
56.000	10.000	flickerSl
66.000	8.000	vertical_motion
74.000	8.000	horizontal_motion
82.000	8.000	vertical_motion
90.000	8.000	horizontal_motion
98.000	8.000	vertical_motion
106.000	8.000	horizontal_motion
114.000	10.000	flickerSl
124.000	8.000	vertical_motion
132.000	8.000	horizontal_motion
140.000	8.000	vertical_motion
148.000	8.000	horizontal_motion
156.000	8.000	vertical_motion
164.000	8.000	horizontal_motion
172.000	10.000	flickerSl
182.000	8.000	vertical_motion
190.000	8.000	horizontal_motion
198.000	8.000	vertical_motion
206.000	8.000	horizontal_motion
214.000	8.000	vertical_motion
222.000	8.000	horizontal_motion
230.000	10.000	flickerSl
240.000	8.000	fixation
