onset	duration	trial_type	block	probe_condition	response	response_time	accuracy
0.000	10.000	stationarybaseline	1	n/a	n/a	n/a	n/a
10.000	2.000	target_cue	1	n/a	n/a	n/a	n/a
12.000	10.000	tracking	1	n/a	n/a	n/a	n/a
22.000	4.000	response	1	target	1	1.158574600238353	1
26.000	10.000	stationarybaseline	2	n/a	n/a	n/a	n/a
36.000	2.000	target_cue	2	n/a	n/a	n/a	n/a
38.000	10.000	tracking	2	n/a	n/a	n/a	n/a
48.000	4.000	response	2	target	n/a	n/a	0
52.000	10.000	stationarybaseline	3	n/a	n/a	n/a	n/a
62.000	2.000	target_cue	3	n/a	n/a	n/a	n/a
64.000	10.000	tracking	3	n/a	n/a	n/a	n/a
74.000	4.000	response	3	distractor	1	1.5251231999136508	0
78.000	10.000	stationarybaseline	4	n/a	n/a	n/a	n/a
88.000	2.000	target_cue	4	n/a	n/a	n/a	n/a
90.000	10.000	tracking	4	n/a	n/a	n/a	n/a
100.000	4.000	response	4	target	1	0.7512601995840669	1
104.000	10.000	stationarybaseline	5	n/a	n/a	n/a	n/a
114.000	2.000	target_cue	5	n/a	n/a	n/a	n/a
116.000	10.000	tracking	5	n/a	n/a	n/a	n/a
126.000	4.000	response	5	target	1	0.6350223999470472	1
130.000	10.000	stationarybaseline	6	n/a	n/a	n/a	n/a
140.000	2.000	target_cue	6	n/a	n/a	n/a	n/a
142.000	10.000	tracking	6	n/a	n/a	n/a	n/a
152.000	4.000	response	6	target	1	1.274661600124091	1
156.000	10.000	stationarybaseline	7	n/a	n/a	n/a	n/a
166.000	2.000	target_cue	7	n/a	n/a	n/a	n/a
168.000	10.000	tracking	7	n/a	n/a	n/a	n/a
178.000	4.000	response	7	target	n/a	n/a	0
182.000	10.000	stationarybaseline	8	n/a	n/a	n/a	n/a
192.000	2.000	target_cue	8	n/a	n/a	n/a	n/a
194.000	10.000	tracking	8	n/a	n/a	n/a	n/a
204.000	4.000	response	8	target	n/a	n/a	0
208.000	10.000	stationarybaseline	9	n/a	n/a	n/a	n/a
218.000	2.000	target_cue	9	n/a	n/a	n/a	n/a
220.000	10.000	tracking	9	n/a	n/a	n/a	n/a
230.000	4.000	response	9	target	n/a	n/a	0
234.000	10.000	stationarybaseline	10	n/a	n/a	n/a	n/a
244.000	2.000	target_cue	10	n/a	n/a	n/a	n/a
246.000	10.000	tracking	10	n/a	n/a	n/a	n/a
256.000	4.000	response	10	distractor	n/a	n/a	0
260.000	10.000	stationarybaseline	11	n/a	n/a	n/a	n/a
270.000	2.000	target_cue	11	n/a	n/a	n/a	n/a
272.000	10.000	tracking	11	n/a	n/a	n/a	n/a
282.000	4.000	response	11	distractor	n/a	n/a	0
286.000	10.000	stationarybaseline	12	n/a	n/a	n/a	n/a
296.000	2.000	target_cue	12	n/a	n/a	n/a	n/a
298.000	10.000	tracking	12	n/a	n/a	n/a	n/a
308.000	4.000	response	12	distractor	n/a	n/a	0
312.000	10.000	stationarybaseline	13	n/a	n/a	n/a	n/a
322.000	2.000	target_cue	13	n/a	n/a	n/a	n/a
324.000	10.000	tracking	13	n/a	n/a	n/a	n/a
334.000	4.000	response	13	distractor	n/a	n/a	0
338.000	10.000	stationarybaseline	14	n/a	n/a	n/a	n/a
348.000	2.000	target_cue	14	n/a	n/a	n/a	n/a
350.000	10.000	tracking	14	n/a	n/a	n/a	n/a
360.000	4.000	response	14	distractor	n/a	n/a	0
364.000	10.000	stationarybaseline	14	n/a	n/a	n/a	n/a
