Conditions,Durations,Timestamp,Stim,Onset
0,8.0,8.0,fixation,0.0
1,8.0,16.0,vertiM,8.0
2,8.0,24.0,horiM,16.0
1,8.0,32.0,vertiM,24.0
2,8.0,40.0,horiM,32.0
1,8.0,48.0,vertiM,40.0
2,8.0,56.0,horiM,48.0
4,10.0,66.0,flickerSl,56.0
1,8.0,74.0,vertiM,66.0
2,8.0,82.0,horiM,74.0
1,8.0,90.0,vertiM,82.0
2,8.0,98.0,horiM,90.0
1,8.0,106.0,vertiM,98.0
2,8.0,114.0,horiM,106.0
4,10.0,124.0,flickerSl,114.0
1,8.0,132.0,vertiM,124.0
2,8.0,140.0,horiM,132.0
1,8.0,148.0,vertiM,140.0
2,8.0,156.0,horiM,148.0
1,8.0,164.0,vertiM,156.0
2,8.0,172.0,horiM,164.0
4,10.0,182.0,flickerSl,172.0
1,8.0,190.0,vertiM,182.0
2,8.0,198.0,horiM,190.0
1,8.0,206.0,vertiM,198.0
2,8.0,214.0,horiM,206.0
1,8.0,222.0,vertiM,214.0
2,8.0,230.0,horiM,222.0
4,10.0,240.0,flickerSl,230.0
0,8.0,248.0,fixation,240.0
