Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,1,4,blue_Square,red_Square,None,None,1,28.305101300007664,1,True
2,14.508000000000001,6.448,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,4,blue_Square,red_Square,None,None,3,62.5204888000153,3,True
3,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",horizontal,illusory,2,4,blue_Square,red_Square,None,None,4,96.16684580000583,4,True
4,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",horizontal,illusory,3,2,blue_Square,red_Square,None,None,2,132.58093690001988,2,True
5,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",vertical,illusory,2,1,blue_Square,red_Square,None,None,2,164.44633720000274,2,True
6,14.508000000000001,6.448,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,197.54286180000054,3,True
7,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,231.35779280000133,3,True
8,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,1,blue_Square,red_Square,None,None,1,265.2720464000013,1,True
9,14.508000000000001,8.06,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,1,2,blue_Square,red_Square,None,None,1,299.11857930000406,1,True
10,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,2,blue_Square,red_Square,None,None,2,333.23295060000964,2,True
